fleetid,fleetcode,fleetname,flagid,flagcode,flagname,statuscode
019PT03,EU.PRT-PT-MADEIRA,EU.Portugal (Madeira),19,EU.PRT,EU.Portugal,CP
020ES00,ZAF-ESP,South Africa (Spain),20,ZAF,South Africa,CP
020ID00,ZAF-IDN,South Africa (Indonesia),20,ZAF,South Africa,CP
020IS00,ZAF-ISL,South Africa (Iceland),20,ZAF,South Africa,CP
020JP00,ZAF-JPN,South Africa (Japan),20,ZAF,South Africa,CP
020KR00,ZAF-KOR,South Africa (Korea),20,ZAF,South Africa,CP
020NA00,ZAF-NAM,South Africa (Namibia),20,ZAF,South Africa,CP
020PA00,ZAF-PAN,South Africa (Panama),20,ZAF,South Africa,CP
020PH00,ZAF-PHL,South Africa (Philipinnes),20,ZAF,South Africa,CP
020SC00,ZAF-SYC,South Africa (Seychelles),20,ZAF,South Africa,CP
020VC00,ZAF-VCT,South Africa (St. Vincent),20,ZAF,South Africa,CP
020ZA00,ZAF,South Africa,20,ZAF,South Africa,CP
021ES00,EU.ESP,EU.Espana,21,EU.ESP,EU.Espana,CP
021ES01,EU.ESP-ES-CANARY,EU.Espana (Canary Isl.),21,EU.ESP,EU.Espana,CP
021ES02,EU.ESP-ES-CANT_BFT,EU.Espana (Cantabrian sea) Target BFT,21,EU.ESP,EU.Espana,CP
021ES03,EU.ESP-ES-SWO,EU.Espana Target SWO,21,EU.ESP,EU.Espana,CP
021ES04,EU.ESP-ES-MEDI_SWO,EU.Espana (Mediterranean) target SWO,21,EU.ESP,EU.Espana,CP
021ES05,EU.ESP-ES-CANT_ALB,EU.Espana (Cantabrian sea) target ALB,21,EU.ESP,EU.Espana,CP
021ES06,EU.ESP-ES-ETRO,EU.Espana (East tropical fishery),21,EU.ESP,EU.Espana,CP
021ES07,EU.ESP-ES-MEDI_PS,EU.Espana (Mediterranean) PS,21,EU.ESP,EU.Espana,CP
021ES08,EU.ESP-ES-MEDI_SPOR,EU.Espana (Mediterranean) SPORT,21,EU.ESP,EU.Espana,CP
021ES09,EU.ESP-CANT_CDZ_ALB,EU.Espana (Cantabric V. in G. Cadiz) Target ALB,21,EU.ESP,EU.Espana,CP
021ES10,EU.ESP-CANT_AZS_ALB,EU.Espana (Cantabric V. in Azores) Target ALB,21,EU.ESP,EU.Espana,CP
021ES11,EU.ESP-CANARY_ALB,EU.Espana (Canary Isl.) Target ALB,21,EU.ESP,EU.Espana,CP
022SE00,EU.SWE,EU.Sweden,22,EU.SWE,EU.Sweden,CP
023FR00,TUN-FRA,Tunisie (France),23,TUN,Tunisie,CP
023LY00,TUN-LBY,Tunisie (Libya),23,TUN,Tunisie,CP
023TN00,TUN,Tunisie,23,TUN,Tunisie,CP
023TN01,TUN-TUN-MONAST,Tunisie (Monastir based),23,TUN,Tunisie,CP
023TN02,TUN-TUN-SFAX,Tunisie (Sfax based),23,TUN,Tunisie,CP
023TN03,TUN-TUN-KELIBIA,Tunisie (Kelibia based),23,TUN,Tunisie,CP
023TN04,TUN-TUN-SOUSSE,Tunisie (Sousse based),23,TUN,Tunisie,CP
023TN05,TUN-TUN-MAHDIA,Tunisie (Mahdia based),23,TUN,Tunisie,CP
023TN06,TUN-TUN-GABES,Tunisie (Gabes based),23,TUN,Tunisie,CP
024TR00,TUR,Turkey,24,TUR,Turkey,CP
025US00,USA,U.S.A.,25,USA,U.S.A.,CP
025US01,USA-Com,USA (commercial),25,USA,U.S.A.,CP
025US02,USA-Rec,USA (recreational),25,USA,U.S.A.,CP
026YU00,YUG,Yugoslavia Fed.,26,YUG,Yugoslavia Fed.,NCO
027GH00,GHA,Ghana,27,GHA,Ghana,CP
027GH01,GHA.BASED,Ghana (Ghanian based),27,GHA,Ghana,CP
027GH02,GHA.LOCMARK,Ghana (Ghanian local market),27,GHA,Ghana,CP
028PA00,PAN,Panama,28,PAN,Panama,CP
028PA01,PAN-PAN-TTO,Panama (Trinidad&Tobago),28,PAN,Panama,CP
